Date,State,State_Code,District,District_Code,Confirmed,Active,Recovered,Deceased,Under_Observation,Home_Isolation,Symptomatic_Hospitalized,Symptomatic_Hospitalized_Today
31-01-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,111,105,6,5
31-01-2020,Kerala,32,Kollam,600,0,0,0,0,128,122,6,4
31-01-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,43,43,0,0
31-01-2020,Kerala,32,Idukki,596,0,0,0,0,21,21,0,0
31-01-2020,Kerala,32,Kottayam,597,0,0,0,0,52,52,0,0
31-01-2020,Kerala,32,Alappuzha,598,0,0,0,0,93,87,6,5
31-01-2020,Kerala,32,Ernakulam,595,0,0,0,0,204,195,9,5
31-01-2020,Kerala,32,Thrissur,594,1,1,0,0,124,110,14,11
31-01-2020,Kerala,32,Palakkad,593,0,0,0,0,93,92,1,1
31-01-2020,Kerala,32,Malappuram,592,0,0,0,0,210,205,5,3
31-01-2020,Kerala,32,Kozhikode,591,0,0,0,0,214,211,3,2
31-01-2020,Kerala,32,Wayanad,590,0,0,0,0,22,22,0,0
31-01-2020,Kerala,32,Kannur,589,0,0,0,0,96,96,0,0
31-01-2020,Kerala,32,Kasaragod,588,0,0,0,0,60,60,0,0
01-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,126,119,7,1
01-02-2020,Kerala,32,Kollam,600,0,0,0,0,156,147,9,3
01-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,64,63,1,1
01-02-2020,Kerala,32,Idukki,596,0,0,0,0,24,24,0,0
01-02-2020,Kerala,32,Kottayam,597,0,0,0,0,62,62,0,0
01-02-2020,Kerala,32,Alappuzha,598,0,0,0,0,120,112,8,2
01-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,238,229,9,1
01-02-2020,Kerala,32,Thrissur,594,1,1,0,0,154,134,20,6
01-02-2020,Kerala,32,Palakkad,593,0,0,0,0,99,96,3,2
01-02-2020,Kerala,32,Malappuram,592,0,0,0,0,265,259,6,1
01-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,268,262,6,3
01-02-2020,Kerala,32,Wayanad,590,0,0,0,0,28,28,0,0
01-02-2020,Kerala,32,Kannur,589,0,0,0,0,121,120,1,1
01-02-2020,Kerala,32,Kasaragod,588,0,0,0,0,68,68,0,0
02-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,153,147,6,1
02-02-2020,Kerala,32,Kollam,600,0,0,0,0,166,160,6,0
02-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,66,64,2,1
02-02-2020,Kerala,32,Idukki,596,0,0,0,0,25,25,0,0
02-02-2020,Kerala,32,Kottayam,597,0,0,0,0,66,66,0,0
02-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,125,116,9,1
02-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,260,251,9,1
02-02-2020,Kerala,32,Thrissur,594,1,1,0,0,174,152,22,2
02-02-2020,Kerala,32,Palakkad,593,0,0,0,0,113,109,4,1
02-02-2020,Kerala,32,Malappuram,592,0,0,0,0,315,307,8,3
02-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,291,284,7,1
02-02-2020,Kerala,32,Wayanad,590,0,0,0,0,38,38,0,0
02-02-2020,Kerala,32,Kannur,589,0,0,0,0,127,126,1,0
02-02-2020,Kerala,32,Kasaragod,588,0,0,0,0,80,79,1,1
03-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,174,168,6,1
03-02-2020,Kerala,32,Kollam,600,0,0,0,0,201,194,7,0
03-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,70,69,1,1
03-02-2020,Kerala,32,Idukki,596,0,0,0,0,26,26,0,0
03-02-2020,Kerala,32,Kottayam,597,0,0,0,0,79,79,0,0
03-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,152,142,10,1
03-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,297,285,12,1
03-02-2020,Kerala,32,Thrissur,594,1,1,0,0,189,165,24,2
03-02-2020,Kerala,32,Palakkad,593,0,0,0,0,123,119,4,1
03-02-2020,Kerala,32,Malappuram,592,0,0,0,0,343,330,13,3
03-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,310,306,4,1
03-02-2020,Kerala,32,Wayanad,590,0,0,0,0,42,42,0,0
03-02-2020,Kerala,32,Kannur,589,0,0,0,0,147,145,2,0
03-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,86,85,1,1
04-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,189,184,5,1
04-02-2020,Kerala,32,Kollam,600,0,0,0,0,213,210,3,2
04-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,74,73,1,0
04-02-2020,Kerala,32,Idukki,596,0,0,0,0,35,35,0,0
04-02-2020,Kerala,32,Kottayam,597,0,0,0,0,84,81,3,3
04-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,182,169,13,3
04-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,315,303,12,0
04-02-2020,Kerala,32,Thrissur,594,1,1,0,0,230,202,28,4
04-02-2020,Kerala,32,Palakkad,593,0,0,0,0,130,127,3,0
04-02-2020,Kerala,32,Malappuram,592,0,0,0,0,357,337,20,7
04-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,316,310,6,2
04-02-2020,Kerala,32,Wayanad,590,0,0,0,0,43,43,0,0
04-02-2020,Kerala,32,Kannur,589,0,0,0,0,162,159,3,1
04-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,91,88,3,2
05-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,195,190,5,1
05-02-2020,Kerala,32,Kollam,600,0,0,0,0,224,221,3,1
05-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,81,81,0,0
05-02-2020,Kerala,32,Idukki,596,0,0,0,0,36,36,0,0
05-02-2020,Kerala,32,Kottayam,597,0,0,0,0,92,89,3,0
05-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,179,171,8,1
05-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,333,330,3,2
05-02-2020,Kerala,32,Thrissur,594,1,1,0,0,241,211,30,2
05-02-2020,Kerala,32,Palakkad,593,0,0,0,0,142,138,4,1
05-02-2020,Kerala,32,Malappuram,592,0,0,0,0,383,357,26,6
05-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,306,301,5,1
05-02-2020,Kerala,32,Wayanad,590,0,0,0,0,49,49,0,0
05-02-2020,Kerala,32,Kannur,589,0,0,0,0,173,171,2,0
05-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,94,90,4,1
06-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,218,211,7,3
06-02-2020,Kerala,32,Kollam,600,0,0,0,0,243,239,4,1
06-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,85,85,0,0
06-02-2020,Kerala,32,Idukki,596,0,0,0,0,37,37,0,0
06-02-2020,Kerala,32,Kottayam,597,0,0,0,0,100,99,1,0
06-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,206,199,7,1
06-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,345,342,3,1
06-02-2020,Kerala,32,Thrissur,594,1,1,0,0,268,246,22,2
06-02-2020,Kerala,32,Palakkad,593,0,0,0,0,155,151,4,1
06-02-2020,Kerala,32,Malappuram,592,0,0,0,0,396,372,24,3
06-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,358,354,4,0
06-02-2020,Kerala,32,Wayanad,590,0,0,0,0,54,54,0,0
06-02-2020,Kerala,32,Kannur,589,0,0,0,0,264,261,3,1
06-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,97,93,4,0
07-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,251,246,5,1
07-02-2020,Kerala,32,Kollam,600,0,0,0,0,266,263,3,0
07-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,85,85,0,0
07-02-2020,Kerala,32,Idukki,596,0,0,0,0,37,37,0,0
07-02-2020,Kerala,32,Kottayam,597,0,0,0,0,103,103,0,0
07-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,233,229,4,1
07-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,365,361,4,1
07-02-2020,Kerala,32,Thrissur,594,1,1,0,0,292,282,10,2
07-02-2020,Kerala,32,Palakkad,593,0,0,0,0,158,154,4,0
07-02-2020,Kerala,32,Malappuram,592,0,0,0,0,412,390,22,2
07-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,370,368,2,1
07-02-2020,Kerala,32,Wayanad,590,0,0,0,0,59,59,0,0
07-02-2020,Kerala,32,Kannur,589,0,0,0,0,285,281,4,1
07-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,98,95,3,1
08-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,270,261,9,5
08-02-2020,Kerala,32,Kollam,600,0,0,0,0,287,283,4,1
08-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,90,90,0,0
08-02-2020,Kerala,32,Idukki,596,0,0,0,0,42,42,0,0
08-02-2020,Kerala,32,Kottayam,597,0,0,0,0,105,105,0,0
08-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,248,246,2,0
08-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,377,377,0,0
08-02-2020,Kerala,32,Thrissur,594,1,1,0,0,299,292,7,0
08-02-2020,Kerala,32,Palakkad,593,0,0,0,0,161,159,2,0
08-02-2020,Kerala,32,Malappuram,592,0,0,0,0,418,403,15,2
